index,symbol
1,Topd
2,Topu
3,Botu
4,Botd
5,Rain
6,Snow
7,Irri
8,Rnon
9,Inun
10,Eint
11,Esub
12,Epnd
13,Esoi
14,Epla
15,R_pr
16,R_l0
17,R_l1
18,Inf(1)
19,Inf(2)
20,Inf(3)
21,Inf(4)
22,Inf(5)
23,Inf(6)
24,Inf(7)
25,Inf(8)
26,Inf(9)
27,Dra(1)
28,Dra(2)
29,Dra(3)
30,Dra(4)
31,Dra(5)
32,Dra(6)
33,Dra(7)
34,Dra(8)
35,Dra(9)
36,Stsn_b
37,Stsn_e
38,Stpn_b
39,Stpn_e
40,Stsm_b
41,Stsm_e
42,Ddev
43,Finp_x
44,Finp_l
45,Inip_x
46,Inip_l
47,Finp_p
48,Inip_p
49,Addi
50,Crpr
51,Exud
52,Form
53,Diss
54,Dedr
55,Dewe
56,Minn
57,Ming
58,Immo
59,Nitr
60,Vola
61,Crup
62,Deni
63,PDen
64,Dssi
65,Updf
66,Redi
67,CH4f
68,CH4e
69,CO2f
70,CO2e
71,N2Od
72,N2Oe
73,N2On
74,Dra4
