function,definition_file,definition_line,definition_result_type,observed_declaration_types,differing_declaration_types,declaration_count,possible_call_count,classification
alfabunsen,ghgtransport.for,291,real,real,,5,5,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
dble_trunc,Function.for,293,real(8),real;real(8),real,7,105,MIXED_EXPLICIT_RESULT_DECLARATION
detmanper,Function.for,564,integer,integer,,4,10,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
f_zcrit,OXYDEM.FOR,398,real,real,,1,1,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
fast,Inicalc.for,1007,real,real,,2,8,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
fexp,Function.for,11,real(8),real(8),,1,0,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
fexph,Function.for,47,real(8),real(8),,1,0,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
foxco,OXYDEM.FOR,369,real,real,,1,1,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
foxcov,OXYDEM.FOR,376,real,real,,1,2,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
fsoldif1,Function.for,89,real,real,,4,3,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
ftiyr,Function.for,117,real,real,,2,9,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
interp,Function.for,339,real,real,,4,8,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
interpt,Function.for,419,real,real,,5,5,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
julianday_date,func_julianday.f90,9,real,real,,5,44,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
nitrate1mgwl,Function.for,766,real,real,,2,6,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
nitratebv,Function.for,822,real,real,,2,2,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
nudayr,Function.for,164,real,real,,4,29,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
slow,Inicalc.for,1043,real,real,,2,10,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
stlen,Function.for,191,real,real,,3,15,EXPLICIT_DECLARATIONS_CONSISTENT_WITH_DEFINITION
