file,id_revision,id_date,id_author,headurl_tag,history_years,explicit_release_markers,notable_scope
Addit.for,11,2013-02-28,renau001,animo4.1.4,1992|1993|1994|1999|2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,stable_DOM
Aeration_original.for,11,2013-02-28,renau001,animo4.1.4,2003|2006|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,GHG
AERATION_SONICG.FOR,11,2013-02-28,renau001,animo4.1.4,2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
Animo.for,41,2016-08-26,renau001,animo4.1.4,1985|2011|2016,,stable_DOM|GHG|PClass_EMW2012|soil_temperature
Animo.inc,,,,,,,PClass_EMW2012|soil_temperature
CORRECTION.FOR,11,2013-02-28,renau001,animo4.1.4,2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
Denitr.for,11,2013-02-28,renau001,animo4.1.4,1991|2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,GHG
FRACPNT.FOR,11,2013-02-28,renau001,animo4.1.4,2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
Function.for,34,2013-03-11,renau001,animo4.1.4,2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,GHG
func_julianday.f90,,,,,2003|2006|2011,Release of ANIMO4.0 | Release of ANIMO4.1,
ghgasses.for,11,2013-02-28,renau001,animo4.1.4,2000|2007|2013,Release of ANIMO4.0,GHG|macropore
ghgtransport.for,,,,animo4.1.4,2000|2007,Release of ANIMO4.0,GHG
ghgtranssub.for,,,,animo4.1.4,2000|2007|2008,Release of ANIMO4.0,GHG
ghg_ch4.for,11,2013-02-28,renau001,animo4.1.4,2007|2013,Release of ANIMO4.0,GHG
ghg_n2o.for,11,2013-02-28,renau001,animo4.1.4,2008|2013,Release of ANIMO4.0,GHG
Grassprd.for,11,2013-02-28,renau001,animo4.1.4,1995|2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
Grassup3.for,11,2013-02-28,renau001,animo4.1.4,2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
grass_init.for,11,2013-02-28,renau001,animo4.1.4,2003|2010|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
gregoriandate.f90,,,,,,,
Hydro_aggregated.for,11,2013-02-28,renau001,animo4.1.4,1993|2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,
Hydro_detailed.for,11,2013-02-28,renau001,animo4.1.4,2003|2011|2013,Release of ANIMO4.0 | Release of ANIMO4.1,macropore
