year,period_start_tito_exclusive,period_end_tito,period_days_reported,hydro_probe_records,legacy_bawadv_formatted_mm,hydro_badev_sum_raw_mm,interception_storage_change_sum_raw_mm,reconstructed_legacy_raw_mm,reconstruction_minus_legacy_formatted_mm,fresh_candidate_bawadv_formatted_mm,fresh_candidate_minus_hydro_badev_raw_mm
1991,0,365,365,36,0.016799999999999999,-0.00016408270995481745,0.017001709999999996,0.01683762729004518,3.7627290045180728e-05,-0.000164,8.2709954817445632e-08
1992,365,731,366,36,-0.017000000000000001,1.3966409973114642e-05,-0.017001709999999996,-0.016987743590026881,1.2256409973120108e-05,1.4e-05,3.3590026885357813e-08
1993,731,1096,365,36,0.059999999999999998,5.7874699210148583e-07,0.059999999999999998,0.060000578746992099,5.7874699210119784e-07,5.7899999999999998e-07,2.5300789851414859e-10
1994,1096,1461,365,36,0.00015699999999999999,0.00015695173287635117,-1.3877787807814457e-17,0.00015695173287633729,-4.8267123662704484e-08,0.00015699999999999999,4.8267123648826696e-08
1995,1461,1826,365,36,1.1399999999999999e-05,1.1439614990542077e-05,6.9388939039072284e-18,1.1439614990549016e-05,3.9614990549016228e-08,1.1399999999999999e-05,-3.9614990542077334e-08
1996,1826,2192,366,36,-0.059999999999999998,8.7015909889107973e-06,-0.060000000000000012,-0.059991298409011101,8.701590988896557e-06,8.6999999999999997e-06,-1.5909889107976275e-09
1997,2192,2557,365,36,0.059799999999999999,-0.00017294686177262596,0.060000000000000026,0.0598270531382274,2.7053138227400853e-05,-0.000173,-5.3138227374039835e-08
1998,2557,2922,365,36,-0.059799999999999999,0.00018321203001838546,-0.059999999999999998,-0.059816787969981612,-1.6787969981613138e-05,0.000183,-2.1203001838545938e-07
1999,2922,3287,365,36,0.059799999999999999,-0.00015046370918416887,0.059999999999999998,0.059849536290815832,4.9536290815832551e-05,-0.00014999999999999999,4.6370918416888118e-07
2000,3287,3653,366,36,1.7499999999999998e-05,1.7481817268430547e-05,-3.4694469519536142e-18,1.7481817268427078e-05,-1.818273157292062e-08,1.7499999999999998e-05,1.8182731569451173e-08
2001,3653,4018,365,36,-2.3300000000000001e-05,-2.328122989735492e-05,-2.4286128663675299e-17,-2.3281229897379206e-05,1.8770102620794578e-08,-2.3300000000000001e-05,-1.8770102645080706e-08
2002,4018,4383,365,36,-0.059999999999999998,6.2076720173724881e-06,-0.060000000000000019,-0.059993792327982645,6.2076720173526168e-06,6.2099999999999998e-06,2.3279826275116869e-09
2003,4383,4748,365,36,-2.55e-05,-2.5456364021332058e-05,3.4694469519536142e-18,-2.5456364021328588e-05,4.363597867141142e-08,-2.55e-05,-4.3635978667941973e-08
2004,4748,5114,366,36,0.059999999999999998,-2.6583400786667622e-06,0.060000000000000026,0.059997341659921356,-2.6583400786414635e-06,-2.6599999999999999e-06,-1.659921333237698e-09
2005,5114,5479,365,36,0.00020699999999999999,0.00020686675901506753,-6.9388939039072284e-18,0.0002068667590150606,-1.3324098493939455e-07,0.00020699999999999999,1.3324098493245565e-07
2006,5479,5844,365,36,1.7999999999999999e-06,1.7981040266979668e-06,6.9388939039072284e-18,1.7981040267049057e-06,-1.8959732950942489e-09,1.7999999999999999e-06,1.8959733020331428e-09
2007,5844,6209,365,36,-5.4500000000000003e-06,-5.4519589864091844e-06,6.9388939039072284e-18,-5.4519589864022455e-06,-1.9589864022451735e-09,-5.4500000000000003e-06,1.9589864091840674e-09
2008,6209,6575,366,36,-0.060100000000000001,-5.2640587582358024e-05,-0.059999999999999984,-0.060052640587582341,4.7359412417659341e-05,-5.2599999999999998e-05,4.0587582358026571e-08
2009,6575,6940,365,36,0.011599999999999999,-0.00018797838803131869,0.011759990000000019,0.0115720116119687,-2.7988388031299424e-05,-0.00018799999999999999,-2.1611968681301778e-08
2010,6940,7305,365,36,0.048399999999999999,0.00018635052096011535,0.048240009999999979,0.048426360520960096,2.6360520960097555e-05,0.00018599999999999999,-3.5052096011536004e-07
2011,7305,7670,365,36,-0.00016100000000000001,-0.00016072734805208904,-2.9137933385547932e-18,-0.00016072734805209197,2.7265194790803988e-07,-0.00016100000000000001,-2.7265194791096722e-07
2012,7670,8036,366,36,-1.22e-05,-1.2215578924879136e-05,-1.7347234759768071e-17,-1.2215578924896483e-05,-1.5578924896483259e-08,-1.22e-05,1.5578924879136024e-08
2013,8036,8401,365,36,0.000165,0.00016535836524543611,1.7347234759768071e-17,0.00016535836524545345,3.5836524545345555e-07,0.000165,-3.5836524543610832e-07
2014,8401,8766,365,36,-0.059900000000000002,5.5674163986951862e-05,-0.060000000000000012,-0.059944325836013057,-4.4325836013055231e-05,5.5699999999999999e-05,2.5836013048136791e-08
2015,8766,9131,365,36,-4.8600000000000002e-05,-4.8627189971628713e-05,0,-4.8627189971628713e-05,-2.7189971628710703e-08,-4.8600000000000002e-05,2.7189971628710703e-08
