case,path,classification,digest_basis,common_sha256,reference_sha256,candidate_sha256
CranGrass,Animoinputs.Out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,e90b580d057499af8fe03f3ee6b0ec4e07325d6e313616a22b083aed8206183d,,
CranGrass,Output/initial.out,EQUAL_RAW,RAW_BYTES,731e4d4f4db2a4fee1e6691828fbce0ebaebd7fe18d5259d0f3e5f2089cec1b2,,
CranGrass,Output/message.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,410f1a6351c2ee7805ba0d0e2a834f3c3a1c2cd2eb644a6a2c85973d442e5326,,
CranGrass,ammonium.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,bd1124e5ab07bc690095aa4547eb87fc2a861df7646b4d209b58dbaf37a9cd33,,
CranGrass,ani_nRP.Bal,EQUAL_RAW,RAW_BYTES,153111daf40ae9d7e029b88b803a30e964b910f757bb5e41ea29e5c8b1c4197e,,
CranGrass,ani_nTP.Bal,EQUAL_RAW,RAW_BYTES,890ea4a49fe1c036dce0383d4a22f484ead68f3a9597439ba87fc2f7db924ae2,,
CranGrass,ani_omRP.Bal,EQUAL_RAW,RAW_BYTES,e7c60c819f9b102efa8a249cc15688700c06f55f6f3da900946be9378f52dd38,,
CranGrass,ani_omTP.Bal,EQUAL_RAW,RAW_BYTES,04f9248de85acfee56a4b22bfb37d02846e25c896e9de79e2d6722ca7283eb42,,
CranGrass,ani_pRP.Bal,EQUAL_RAW,RAW_BYTES,87b2a516482bd59ceac44d908be30a57063055a8804ecfce7e0fd41cab5a31fa,,
CranGrass,ani_pTP.Bal,EQUAL_RAW,RAW_BYTES,e51a6e877487fa7e808dc0b42a35d91b01162e8d70e370e138cf7bb7e3d564ae,,
CranGrass,ani_waRP.Bal,EQUAL_RAW,RAW_BYTES,4f12ddc1008849b62870282b3802329c189acfb88659e8ed656ac04cdb6adc9b,,
CranGrass,ani_waTP.Bal,EQUAL_RAW,RAW_BYTES,e9e17d995a4aaf97f531cf3ce03023a0f4ed649411e687c99a0e8e67373cd2fa,,
CranGrass,animointermediate.Out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,dc242dd269912de24d5d941ad4c9f1e7866d6d364223b0b1704f7e98fb9b6f38,,
CranGrass,banhRP.Out,EQUAL_RAW,RAW_BYTES,0d86d054d60fd8b2a3e019de7539bca3dea76be5429797d3d0669aae89d5295b,,
CranGrass,banhTP.Out,EQUAL_RAW,RAW_BYTES,d5837f251bfe53b15285a8468cba87ecd6f3f7d4668a717b1a912bc15072384b,,
CranGrass,baniRP.Out,EQUAL_RAW,RAW_BYTES,41d6eeb8e11ade353a1fcd805a96b9865b76e6af851bb0e6727c0f662160cccd,,
CranGrass,baniTP.Out,EQUAL_RAW,RAW_BYTES,6bfc3d6fb31af8531431c68568201ff89dd9230cf5cc9a0a69bbc4260488146b,,
CranGrass,banoRP.Out,EQUAL_RAW,RAW_BYTES,f00931fa5da9a054c1bbfbe618e5fd3ddb7c790d282c37f741765171bd92f99b,,
CranGrass,banoTP.Out,EQUAL_RAW,RAW_BYTES,0cc5b8ffdc25c340e0ec2a9b63da727e6d6937a7d9e1b95e5d0e3e702227cb0b,,
CranGrass,baomRP.Out,EQUAL_RAW,RAW_BYTES,9d5e143c05e65db120c3f70abc73774a364da4500545b2b69eafbdefc940e9d1,,
CranGrass,baomTP.Out,EQUAL_RAW,RAW_BYTES,04e823ba6e99e45fbc6c51a9ea4c85ba0a97404642c608f36b90532a9c330902,,
CranGrass,bapoRP.Out,EQUAL_RAW,RAW_BYTES,4130a9dbcb94c960ed9cb5e6ae213a815419e139aedcb97aa0fcb8e39f3624ce,,
CranGrass,bapoTP.Out,EQUAL_RAW,RAW_BYTES,a9aeba731494d4b45791e694cd5dbef29629f29a4d31b3d881f91db6959bf6bd,,
CranGrass,bappRP.Out,EQUAL_RAW,RAW_BYTES,995776881b696b0d3973e5ccf26b47c0593aafff879ac23f30822ab7ba8eeeed,,
CranGrass,bappTP.Out,EQUAL_RAW,RAW_BYTES,85b165bdcc779271c94248a3e344f29e1c50650c137b0213edff197d044151ef,,
CranGrass,bawaRP.Out,EQUAL_RAW,RAW_BYTES,2a533be2dc743fa139431effdd85b306ad1545874b56a6c834011faae92c1c77,,
CranGrass,bawaTP.Out,EQUAL_RAW,RAW_BYTES,a23846a183acd9a0c97efcd79a84fb0315d130799277787f504c99d2e25c0742,,
CranGrass,discharge.out,EQUAL_RAW,RAW_BYTES,4339b0a5f98e1ee4a97e5dcbe87bc1a5eeddc280e21763a046a732ce1b8c4860,,
CranGrass,miner-N.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,65bea09916a2f2e497855501f703cf4a81232f208344a23fc7f5a0965ca02c63,,
CranGrass,nitrate.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,9f1c2a59efbbde51c890754b8d5796695fea90b6ee50b486ea26770b881db653,,
CranGrass,phosphat.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,b1176c5a7f04f510d7e3e155146baf2cea1b82c245743c68f9ae7e22e6920195,,
