case,path,classification,digest_basis,common_sha256,reference_sha256,candidate_sha256
CranMais,Animoinputs.Out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,9d53de1b06caa0e350286da91382cd77f37c38c96f00fdfe4f81f1711646f08e,,
CranMais,Output/initial.out,EQUAL_RAW,RAW_BYTES,254fa48dfd1349f6b0d2079b6dc0ca8ec16c35ea80bcd5b8eb464bd60b770a86,,
CranMais,Output/message.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,aae0f1d23d5363f83c212130649c19b935910171d709801c27e8e338df14f745,,
CranMais,ani_nMP.Bal,EQUAL_RAW,RAW_BYTES,657408708369d8c243e40a30f091fa91e570e26075c3317625eb04e4720e9e4f,,
CranMais,ani_nTP.Bal,EQUAL_RAW,RAW_BYTES,17c95e7720ee868af940a28edc8a2498e5b1bf5bcd3d30c11a879a9afb220db6,,
CranMais,ani_omMP.Bal,EQUAL_RAW,RAW_BYTES,34ac81898167108b4f567d9dbc4fb4dac1fd80bb8a839a1199bd2f13ecf791f7,,
CranMais,ani_omTP.Bal,EQUAL_RAW,RAW_BYTES,909fcc6046077ccafeff6971c7111b5d89fc4904c2d257f4d7b2ef4d17000be4,,
CranMais,ani_waMP.Bal,EQUAL_RAW,RAW_BYTES,a9cf293dce26d8b797dd2dca06fcc3c1cfe1e46646cc8fc1f45a4c7a0f9a66e8,,
CranMais,ani_waTP.Bal,EQUAL_RAW,RAW_BYTES,0ef8382788667acf34404deb0342b83b7feb7b77838507dcc09946d335fb5390,,
CranMais,animointermediate.Out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,dc242dd269912de24d5d941ad4c9f1e7866d6d364223b0b1704f7e98fb9b6f38,,
CranMais,banhMP.Out,EQUAL_RAW,RAW_BYTES,e7ffe6af815dd3e6a8bf3c6696819c01a1572fdbd1a37a66ab0e663ef0d93a16,,
CranMais,banhTP.Out,EQUAL_RAW,RAW_BYTES,6a3eb15700f885c22573fdd2e9cd16c5618a72548496f7ad5192c68ecd5efce6,,
CranMais,baniMP.Out,EQUAL_RAW,RAW_BYTES,19ee7e0f5ccaced4bcc861ab5a22a70baec1e266194ddfe1df4aa7770654c52c,,
CranMais,baniTP.Out,EQUAL_RAW,RAW_BYTES,20e4bf64d94adab98b69560ed65a6d92d50a12747653218f4f84bdcd80f52d29,,
CranMais,banoMP.Out,EQUAL_RAW,RAW_BYTES,95cdd772cd36d20405556005f5add3ae2b5e65b4914d16f8f73771da4d19e57a,,
CranMais,banoTP.Out,EQUAL_RAW,RAW_BYTES,b0d37e9f94b4a98e11cab1c1b8cd0e21508d3c7b16619a36826dfde31a4414e8,,
CranMais,baomMP.Out,EQUAL_RAW,RAW_BYTES,e199990af84aaf9984041badd69aaa004d29536371830e97860e592af59fc3ea,,
CranMais,baomTP.Out,EQUAL_RAW,RAW_BYTES,f16cec5177df21c4052faa516dfa7eb11dbf4cb529e71f671caf125aad491b8c,,
CranMais,bawaMP.Out,EQUAL_RAW,RAW_BYTES,b74294b1cfc624c1c108d31c0db57ba2e23eca8836720a67e6a107db0f71262a,,
