year,active_days,mean_abs_delta_C,max_abs_delta_C,mean_abs_delta_fGrow,regime_changes,regime_change_pct,legacy_fGrow_sum,t50_fGrow_sum,sum_change_pct
2010,171,1.191634586,5.075757754,0.332966046,26,15.204678363,542.032059683,516.201650703,-4.765476233
2011,158,1.012838274,4.104390740,0.264949538,9,5.696202532,549.334434048,511.101258678,-6.959908755
2012,175,1.211282672,4.708007641,0.301073578,38,21.714285714,539.016514720,503.912168260,-6.512666217
2013,161,1.158439045,4.616893015,0.302989099,18,11.180124224,542.821312197,508.943401444,-6.241079706
2014,166,1.148343976,3.872502141,0.296240379,9,5.421686747,545.747690793,520.527992134,-4.621127874
2015,169,1.004736898,4.097703146,0.242687788,24,14.201183432,560.912915979,532.432484637,-5.077513912
2016,154,1.320914673,5.201692433,0.270582373,30,19.480519481,519.822877027,493.659374048,-5.033157280
2017,163,1.019640927,5.384873259,0.246140955,26,15.950920245,524.841868216,499.167054089,-4.891914247
2018,126,1.386993356,4.654897494,0.206940907,31,24.603174603,473.737983548,450.715914244,-4.859662958
2019,161,1.186941005,3.842697353,0.301792899,20,12.422360248,517.095787174,492.128148797,-4.828435852
