date,tiwa_d,nuroup,legacy_selector_layer,legacy_selector_depth_m,legacy_selector_temp_C,t50_temp_C,legacy_minus_t50_C,legacy_growth_branch,t50_growth_branch,legacy_fGrow,t50_fGrow,legacy_minus_t50_fGrow
2010-04-21,111.000000000,2,3,0.124999993,6.994298458,7.907808061,-0.913509603,OFF,TRANSITION,0.000000000,0.693281830,-0.693281830
2010-04-25,115.000000000,2,3,0.124999993,11.516174316,7.884596274,3.631578043,TRANSITION,TRANSITION,2.797106235,0.676376596,2.120729639
2010-04-29,119.000000000,2,3,0.124999993,14.533471107,9.457713353,5.075757754,TRANSITION,TRANSITION,3.756649409,1.724556486,2.032092923
2010-06-10,161.000000000,2,3,0.124999993,17.054365158,13.093665772,3.960699386,MATURE,TRANSITION,4.000000000,3.389622116,0.610377884
2011-04-01,456.000000000,2,3,0.124999993,10.614005089,7.302638884,3.311366205,TRANSITION,TRANSITION,2.368762760,0.238447495,2.130315265
2011-04-02,457.000000000,3,4,0.174999990,11.613454819,7.805485289,3.807969530,TRANSITION,TRANSITION,2.839405240,0.618435969,2.220969272
2012-04-18,839.000000000,2,3,0.124999993,7.152405739,6.947250685,0.205155054,TRANSITION,OFF,0.120995491,0.000000000,0.120995491
2013-04-25,1211.000000000,2,3,0.124999993,12.574417114,7.957524099,4.616893015,TRANSITION,TRANSITION,3.216568645,0.729345184,2.487223461
2016-05-07,2319.000000000,3,4,0.174999990,13.686875343,9.072707888,4.614167456,TRANSITION,TRANSITION,3.560928200,1.486321591,2.074606610
2016-05-08,2320.000000000,3,4,0.174999990,15.040395737,9.838703303,5.201692433,TRANSITION,TRANSITION,3.846398045,1.948633185,1.897764860
2016-05-09,2321.000000000,3,4,0.174999990,15.677185059,10.594178292,5.083006766,TRANSITION,TRANSITION,3.930006425,2.358617930,1.571388495
2016-06-23,2366.000000000,2,3,0.124999993,19.467384338,14.364290476,5.103093863,MATURE,TRANSITION,4.000000000,3.722121412,0.277878588
2017-05-17,2694.000000000,3,4,0.174999990,16.811113358,11.426240098,5.384873259,TRANSITION,TRANSITION,3.998572873,2.757328022,1.241244851
